state,state_name,Accessory Apartments Banned,No Flexible Zoning By Right,No Flexible Zoning By Permit,Affordable Incentive,Affordable Mandate,Zoning District Count,Permit Cap Or Phasing,Wetlands Restricted in Lot Size Calc,Longest Frontage Requirement,Highest Res Min Lot Size,Mean Res Min Lot Size,Lowest Res Min Lot Size,Mandatory Approval Steps,Distinct Approval Bodies,Public Hearing Requirements,Max Review Waiting Time,Multifamily Not Allowed,No Mixed-Use Buildings,No Conversion to Multifamily,Townhouses Not Allowed,Age-Restricted Provisions,First_PC,Second_PC,Third_PC,Overall_Index
15,HI,1.0,1.0,1.0,1.0,1.0,26.0,0.0,0.0,100.0,20000.0,9200.0,3500.0,3.0,3.0,1.0,90.0,1.0,1.0,0.0,1.0,1.0,3.774839011624995,-0.9186242299447822,2.124254431989575,-0.7191215689051018
16,ID,0.78522606167804,0.04031056628408501,0.9841982803354518,0.5214344301170064,0.010492632001830142,18.209392314516712,0.28019595917889084,0.29003855574960524,58.25842953671724,34806.42207107426,15551.588189003678,4961.951225023853,4.004491661133461,2.7867074728965915,0.4335066761149642,274.04424146723875,1.0,0.9114277902701134,0.11238917314377221,0.9706953984187121,0.12268372567946836,0.995825590801269,-0.9246956496452563,0.002094513656029142,-2.1370879192617536
17,IL,0.05503300939372404,0.04815557818195906,0.9379379813239351,0.34844916989213987,0.003003715599829051,9.441530212100337,0.09191466590474069,0.0177334235699057,68.52751904714054,27199.789944611046,12331.199371897703,5839.54378439109,4.575571232613014,2.7938124185056,0.5567617500245164,286.16538087622297,0.9917031588046641,0.7233918135735015,0.060922277496831025,0.9323947276982288,0.5733585802025964,0.10985007497435555,-0.762978517347101,0.3270651855693969,-0.38939101480777144
18,IN,0.5232087164514381,0.38885294181175145,0.8454937234525096,0.14458550933147515,0.0,10.485096780070565,0.005984953565663102,0.40192724332456514,82.16212434391367,25525.844631619675,10839.716230277496,5204.321393790787,4.329105769239799,2.3430186967582833,0.13740037207572614,116.15302435959683,0.9914728733130047,0.6686675988907222,0.1469426776116908,0.7415510542928166,0.4911850358317752,0.4835871866801936,-0.230233136254555,-0.2632658461128658,-3.1302077871571923
19,IA,0.3483589282901263,0.0905835820450704,0.928377406046569,0.0699387338905044,0.0699387338905044,18.0917309911145,0.07905201445863154,0.0021905082234531265,69.30472332327133,84658.3469134909,21930.321159585656,6849.685160743708,4.1367524278665,2.7216692140992946,0.12902923657914567,203.2908905512247,1.0,0.8473882074447476,0.29095015689062786,0.9010056327354318,0.48639074920064546,0.23576961309367053,-0.7884742083990386,-0.33317901543539696,-3.0769380049861983
20,KS,0.45898168095991587,0.14229433175407924,0.8050090188172663,0.0,0.0,17.7651047889689,0.4147779433406068,0.0,31.27017700870512,58578.9120215529,20961.024608377273,5494.822599172391,4.182622976532622,2.1604288436077113,0.07058204817109458,209.88952756159782,0.9642614949554595,0.8151165526435976,0.09634680235642551,0.9187291540764593,0.6681859490978876,0.2069895547104073,-0.9775877421974337,-0.026563817339250295,-3.2093530109665327
21,KY,0.13292641975308642,0.05676641975308642,0.7887367901234568,0.027855802469135802,0.0,12.702897777777778,0.05731160493827161,0.01311604938271605,45.979614814814816,11480.417955555555,6474.81378436214,3723.684740740741,4.221443950617284,2.859693827160494,0.09203358024691358,131.8161027160494,0.9083535802469136,0.529758024691358,0.16441283950617283,0.8360849382716049,0.12143012345679012,-0.9072754129070236,-0.6205582051791494,-0.06067258237572005,-3.5070469077407913
22,LA,0.34090216796753453,0.03204294665404557,0.610804136137487,0.4759063768182399,0.0,9.713256078268246,0.0865975126838711,0.010407488806422345,30.733478213875124,152821.30959126656,6551.394681858449,3636.8564306980797,3.688604004467605,3.768170935019931,0.10408471417481961,300.28660799386853,0.9849595000474929,0.7607161924476514,0.15927961507849425,0.9748697221503461,0.5884268069398544,0.2337038106129206,-0.6073897667863011,0.10560317965244773,-0.2143028535722686
23,ME,0.6212382067350734,0.13056952000550925,1.0,0.0,0.0,19.54080297500172,0.10212795262034295,0.34677363817918877,232.36347358997315,106026.16486467874,41462.77529095792,13768.98836168308,4.753976998829282,2.1119068934646372,0.477343158184698,91.94132635493423,1.0,0.7539769988292817,0.24602300117071826,0.5093313132704359,0.7255354314441154,1.394909319028376,1.675568212102489,-0.9849578325101486,3.496578059223172
24,MD,0.21906675768968203,0.06418468698018326,0.9203561435727815,0.10597194311702547,0.0,26.479332326952107,0.13262694345355422,0.026324240646904418,51.30669499918272,20895.43668932627,9607.73158594784,5152.271472938281,4.082776458371393,2.5240098843302596,0.10880455371479669,385.4644808322837,0.9957885830216436,0.9751411016989895,0.6984567752853283,0.9974289203196062,0.8744882359162717,0.7131554134794988,-1.6087465079692054,-0.1678041211457833,-3.28466263167455
25,MA,0.45034641955037247,0.027271105553791003,0.8896199977843607,0.6585171081154984,0.1915637694115269,17.108309952537795,0.25345942618959244,0.21577548545760816,112.4953948506803,45924.74111660856,25298.522993946586,12924.031536378487,4.697986278432224,2.9506903122009764,0.5274161931100313,198.52588800445537,0.9763629444707919,0.5670824950775658,0.5365893413024947,0.7758606436532478,0.6071049058336577,1.4708670110022306,0.6752967576009754,0.31659268926185025,3.2192595276641693
26,MI,0.18987360046937837,0.06396955046395003,0.9237317890661634,0.260710581571817,0.0035030133075236824,19.57720893112473,0.3485203724535877,0.05694850928477546,52.646700376288074,15057.949641151918,9068.228016676176,5786.003856433048,3.7728931679113353,2.6961283213948297,0.1143809495210354,236.9265551046053,0.9657373421449575,0.8447725062541435,0.3108551833740267,0.8643630475407299,0.7690529043941854,0.5159170411953641,-0.9895736876381861,0.05854375514843054,-1.533847852620618
27,MN,0.6142337502306222,0.021002279986391172,0.9637250272091917,0.5372143881190197,0.0757084122526841,27.72349113818207,0.03941058881875716,0.10600159446709762,93.79261094833554,31554.6563601803,21904.219758124935,6876.695922260419,4.28626524010948,3.349195911258258,0.4161212133522232,166.13356116270842,0.9962558798090024,0.8502478871618316,0.09589145436726569,0.8257943137444079,0.5699390480252813,1.3748103104745804,-0.5838836749744061,0.17820472995607076,1.2101211234373157
28,MS,0.389598940165075,0.15493652427517585,0.6841177255485027,0.14251062694191877,0.0,12.122517203255752,0.16047397114046624,0.0,39.62389918224967,19041.045557652353,9723.456665692398,4863.073283010236,4.518239739997331,3.0702116810583098,0.1296725186328892,197.81356150283068,1.0,0.4473037113284154,0.06315882274451497,0.7388226492060769,0.1372757858218486,-0.7124826940551033,-0.5989127448828075,0.005709822227358196,-2.880614741344835
29,MO,0.6334668778533494,0.1545044046070891,0.9773713556846529,0.0,0.0,16.504320622327086,0.39386884992054255,0.0,94.38512656109957,51261.886547084614,15429.868521167691,5210.020536898836,3.872383841856693,3.140287359112281,0.0834677308235887,94.68522642423065,1.0,0.9428838005204431,0.26469241237043056,0.9682367005536433,0.6583801701478788,0.903970193853609,-0.7665542937217159,-0.6621627570122204,-2.9599731700203726
30,MT,0.7609377760718442,0.0268745468613868,0.7980479245489938,0.20786191686010735,0.0,20.43273442878641,0.21403983354962133,0.0,46.47746035227529,22407.28068091121,12314.792304614755,8548.35663760487,4.5758196097067625,2.6183034490321875,0.7804829010619436,145.70100467303953,1.0,0.9085558662791761,0.014153156281795861,0.9541774049094333,0.45662359184320034,0.4586900145370401,-0.9867342094801833,0.3436577541161594,-2.2432106567085155
31,NE,0.7857865521861584,0.03895846435700418,0.971049465423423,0.7605513931803888,0.0,34.10175754012742,0.0,0.0,57.85375023926061,28927.469853162343,12297.729781338585,4265.603620354926,3.4754450247463837,2.496387164693336,0.09609731754669,415.9209688004156,0.9925726668671898,0.9039197724973339,0.0,0.987965190998332,0.853005113341172,1.7541240432777914,-1.60424354673412,0.6368415355007093,-0.28870326992743134
