cbsa23,cbsatype23,CBSAName23,pop20,afact
29300,Micro,"LaGrange, GA-AL",104198,1
29340,Metro,"Lake Charles, LA",254652,1
29380,Micro,"Lake City, FL",69698,1
29420,Metro,"Lake Havasu City-Kingman, AZ",213267,1
29460,Metro,"Lakeland-Winter Haven, FL",725046,1
29470,Micro,"Lake of the Woods, VA",36254,1
29540,Metro,"Lancaster, PA",552984,1
29620,Metro,"Lansing-East Lansing, MI",473203,1
29660,Micro,"Laramie, WY",37066,1
29700,Metro,"Laredo, TX",267114,1
29720,Micro,"Lares, PR",28105,1
29740,Metro,"Las Cruces, NM",219561,1
29780,Micro,"Las Vegas, NM",31390,1
29820,Metro,"Las Vegas-Henderson-North Las Vegas, NV",2265461,1
29860,Micro,"Laurel, MS",83613,1
29900,Micro,"Laurinburg, NC",34174,1
29940,Metro,"Lawrence, KS",118785,1
29980,Micro,"Lawrenceburg, TN",44159,1
30020,Metro,"Lawton, OK",126652,1
30060,Micro,"Lebanon, MO",36039,1
30140,Metro,"Lebanon, PA",143257,1
30150,Micro,"Lebanon-Claremont, NH-VT",221211,1
30180,Micro,"Le Mars, IA",25698,1
30260,Micro,"Lewisburg, PA",42681,1
30280,Micro,"Lewisburg, TN",34318,1
30300,Metro,"Lewiston, ID-WA",64375,1
30340,Metro,"Lewiston-Auburn, ME",111139,1
30380,Micro,"Lewistown, PA",46143,1
30420,Micro,"Lexington, NE",26004,1
30460,Metro,"Lexington-Fayette, KY",516811,1
30500,Metro,"Lexington Park, MD",206560,1
30580,Micro,"Liberal, KS",21964,1
30620,Metro,"Lima, OH",102206,1
30660,Micro,"Lincoln, IL",27987,1
30700,Metro,"Lincoln, NE",340217,1
30780,Metro,"Little Rock-North Little Rock-Conway, AR",748031,1
30820,Micro,"Lock Haven, PA",37450,1
30860,Metro,"Logan, UT-ID",147348,1
30900,Micro,"Logansport, IN",37870,1
30980,Metro,"Longview, TX",286184,1
31020,Metro,"Longview-Kelso, WA",110730,1
31060,Micro,"Los Alamos, NM",19419,1
31080,Metro,"Los Angeles-Long Beach-Anaheim, CA",13200998,1
31140,Metro,"Louisville/Jefferson County, KY-IN",1362180,1
31180,Metro,"Lubbock, TX",351268,1
31220,Micro,"Ludington, MI",29052,1
31260,Micro,"Lufkin, TX",86395,1
31300,Micro,"Lumberton, NC",116530,1
31340,Metro,"Lynchburg, VA",261593,1
31380,Micro,"Macomb, IL",27238,1
31420,Metro,"Macon-Bibb County, GA",233802,1
31500,Micro,"Madison, IN",33147,1
31540,Metro,"Madison, WI",680796,1
31580,Micro,"Madisonville, KY",45423,1
31620,Micro,"Magnolia, AR",22801,1
31680,Micro,"Malvern, AR",33040,1
31700,Metro,"Manchester-Nashua, NH",422937,1
31740,Metro,"Manhattan, KS",134046,1
31820,Micro,"Manitowoc, WI",81359,1
31860,Metro,"Mankato, MN",103566,1
31900,Metro,"Mansfield, OH",124936,1
31930,Micro,"Marietta, OH",59771,1
31940,Micro,"Marinette, WI-MI",65374,1
31980,Micro,"Marion, IN",66674,1
32000,Micro,"Marion, NC",44578,1
32020,Micro,"Marion, OH",65359,1
32060,Micro,"Marion-Herrin, IL",67153,1
32100,Micro,"Marquette, MI",66017,1
32140,Micro,"Marshall, MN",25269,1
32180,Micro,"Marshall, MO",23333,1
32260,Micro,"Marshalltown, IA",40105,1
32280,Micro,"Martin, TN",32902,1
32300,Micro,"Martinsville, VA",64433,1
32340,Micro,"Maryville, MO",21241,1
32380,Micro,"Mason City, IA",50570,1
32390,Micro,"Massena-Ogdensburg, NY",108505,1
32420,Metro,"Mayagüez, PR",213831,1
32460,Micro,"Mayfield, KY",36649,1
32540,Micro,"McAlester, OK",43773,1
32580,Metro,"McAllen-Edinburg-Mission, TX",870781,1
32620,Micro,"McComb, MS",54208,1
32660,Micro,"McMinnville, TN",40953,1
32700,Micro,"McPherson, KS",30223,1
32740,Micro,"Meadville, PA",83938,1
32780,Metro,"Medford, OR",223259,1
32820,Metro,"Memphis, TN-MS-AR",1345425,1
32860,Micro,"Menomonie, WI",45440,1
32900,Metro,"Merced, CA",281202,1
32940,Micro,"Meridian, MS",88599,1
33020,Micro,"Mexico, MO",24962,1
33060,Micro,"Miami, OK",30285,1
33100,Metro,"Miami-Fort Lauderdale-West Palm Beach, FL",6138333,1
33140,Metro,"Michigan City-La Porte, IN",112417,1
33180,Micro,"Middlesborough, KY",24097,1
33220,Metro,"Midland, MI",83494,1
33260,Metro,"Midland, TX",175220,1
33300,Micro,"Milledgeville, GA",43799,1
33340,Metro,"Milwaukee-Waukesha, WI",1574731,1
33380,Micro,"Minden, LA",36967,1
33420,Micro,"Mineral Wells, TX",28409,1
33460,Metro,"Minneapolis-St. Paul-Bloomington, MN-WI",3690261,1
33500,Metro,"Minot, ND",77546,1
33540,Metro,"Missoula, MT",122457,1
33580,Micro,"Mitchell, SD",25747,1
33620,Micro,"Moberly, MO",24716,1
33660,Metro,"Mobile, AL",414809,1
33700,Metro,"Modesto, CA",552878,1
33740,Metro,"Monroe, LA",227147,1
33780,Metro,"Monroe, MI",154809,1
33860,Metro,"Montgomery, AL",386047,1
33900,Micro,"Monticello, IN",24688,1
33910,Micro,"Monticello, NY",78624,1
33940,Micro,"Montrose, CO",42679,1
33980,Micro,"Morehead City, NC",67686,1
34020,Micro,"Morgan City, LA",49406,1
34060,Metro,"Morgantown, WV",140038,1
34100,Metro,"Morristown, TN",119182,1
34140,Micro,"Moscow, ID",39517,1
34180,Micro,"Moses Lake, WA",99123,1
34220,Micro,"Moultrie, GA",45898,1
34260,Micro,"Mountain Home, AR",41627,1
34300,Micro,"Mountain Home, ID",28666,1
34340,Micro,"Mount Airy, NC",71359,1
34380,Micro,"Mount Pleasant, MI",64394,1
34420,Micro,"Mount Pleasant, TX",55684,1
34460,Micro,"Mount Sterling, KY",46977,1
