county_name,"senate totalvotes, 2020","senate dem votecount, 2020","senate rep votecount, 2020",dem_pct_senate_2020,rep_pct_senate_2020,state,"senate totalvotes, 2024","senate dem votecount, 2024","senate rep votecount, 2024"
barry,35570.0,11369.0,23499.0,0.31962327804329493,0.6606409895979758,michigan,38132.0,12311.0,24678.0
barry,,,,,,missouri,15975.0,3168.0,12415.0
bartholomew,,,,,,indiana,32259.0,10790.0,20573.0
barton,11079.0,2477.0,8151.0,0.22357613503023738,0.73571621987544,kansas,,,
barton,,,,,,missouri,5916.0,836.0,4958.0
bartow,99653.0,23491.0,73570.0,0.23572797607698714,0.7382617683361263,georgia,,,
bastrop,36504.0,15071.0,20468.0,0.4128588647819417,0.5607056760902914,texas,39446.0,16445.0,21835.0
bates,,,,,,missouri,8220.0,1923.0,6094.0
bath,5610.0,1827.0,3537.0,0.325668449197861,0.6304812834224599,kentucky,,,
bath,2434.0,744.0,1688.0,0.3056696795398521,0.6935086277732129,virginia,2566.0,684.0,1881.0
baxter,20386.0,,16094.0,,0.7894633572059256,arkansas,,,
bay,,,,,,florida,97065.0,22988.0,72045.0
bay,59472.0,27072.0,31314.0,0.4552058111380145,0.5265334947538337,michigan,60151.0,26313.0,32145.0
bayfield,,,,,,wisconsin,11169.0,6260.0,4697.0
baylor,1678.0,177.0,1462.0,0.10548271752085817,0.8712753277711561,texas,1672.0,199.0,1433.0
beadle,7090.0,1986.0,5104.0,0.28011283497884343,0.7198871650211566,south dakota,,,
bear lake,3301.0,355.0,2791.0,0.10754316873674644,0.8455013632232656,idaho,,,
beaufort,26046.0,9439.0,15448.0,0.36239729708976426,0.593104507409967,north carolina,,,
beaufort,97977.0,43489.0,53575.0,0.4438694795717362,0.5468120068995784,south carolina,,,
beauregard,15755.0,2128.0,13149.0,0.13506823230720405,0.8345921929546176,louisiana,,,
beaver,2164.0,195.0,1889.0,0.09011090573012939,0.8729205175600739,oklahoma,,,
beaver,,,,,,pennsylvania,94757.0,38529.0,53593.0
beaver,,,,,,utah,3156.0,327.0,2605.0
beaverhead,5665.0,1890.0,3775.0,0.33362753751103263,0.6663724624889673,montana,5841.0,2024.0,3707.0
becker,19019.0,,11274.0,,0.5927756454072244,minnesota,19475.0,7539.0,11489.0
beckham,7927.0,1196.0,6417.0,0.1508767503469156,0.8095117951305664,oklahoma,,,
bedford,,,,,,pennsylvania,28043.0,4624.0,22855.0
bedford,18153.0,3808.0,13920.0,0.20977248939569218,0.7668154024128243,tennessee,19562.0,4063.0,15086.0
bedford,48318.0,13872.0,34407.0,0.2870979759095989,0.7120948714764684,virginia,50656.0,13068.0,37536.0
bee,9044.0,3102.0,5713.0,0.34298982750995133,0.6316895179124281,texas,8672.0,2845.0,5639.0
belknap,38051.0,18704.0,18536.0,0.4915508133820399,0.4871356863157342,new hampshire,,,
bell,9947.0,2159.0,7346.0,0.21705036694480748,0.7385141248617674,kentucky,,,
bell,126799.0,54413.0,68934.0,0.42912798996837515,0.5436478205664083,texas,129372.0,55441.0,70468.0
belmont,,,,,,ohio,30363.0,9374.0,19881.0
beltrami,23845.0,,11468.0,,0.4809394002935626,minnesota,24569.0,12390.0,11278.0
ben hill,12921.0,4588.0,8085.0,0.3550808760931816,0.6257255630369166,georgia,,,
benewah,4873.0,1081.0,3584.0,0.2218345988097681,0.7354812230658732,idaho,,,
bennett,1166.0,437.0,729.0,0.3747855917667238,0.6252144082332761,south dakota,,,
bennington,,,,,,vermont,20237.0,nan,6597.0
benson,,,,,,north dakota,1947.0,873.0,1071.0
bent,2256.0,702.0,1488.0,0.31117021276595747,0.6595744680851063,colorado,,,
benton,117485.0,,76068.0,,0.6474698897731626,arkansas,,,
benton,,,,,,indiana,3925.0,922.0,2887.0
benton,14492.0,5202.0,8830.0,0.35895666574661883,0.6093016836875518,iowa,,,
benton,21771.0,,12915.0,,0.5932203389830508,minnesota,22308.0,8435.0,13048.0
benton,4280.0,1868.0,2320.0,0.43644859813084114,0.5420560747663551,mississippi,3802.0,1280.0,2522.0
benton,,,,,,missouri,10677.0,2466.0,7954.0
benton,53235.0,35021.0,14811.0,0.6578566732412886,0.27821921668075517,oregon,,,
benton,6983.0,1338.0,5462.0,0.19160819132178147,0.7821853071745668,tennessee,7082.0,1281.0,5647.0
benton,,,,,,washington,97712.0,39595.0,57804.0
benzie,12169.0,5328.0,6692.0,0.43783384008546306,0.5499219327800148,michigan,12739.0,5659.0,6742.0
bergen,483350.0,280054.0,195193.0,0.5794020895831178,0.4038336609082445,new jersey,428001.0,224775.0,192452.0
berkeley,104486.0,46233.0,56358.0,0.4424803322933216,0.5393832666577341,south carolina,,,
berkeley,50812.0,15197.0,34162.0,0.29908289380461306,0.6723214988585373,west virginia,54895.0,16740.0,35870.0
berks,,,,,,pennsylvania,203642.0,89063.0,108058.0
berkshire,71771.0,51261.0,18185.0,0.7142299814688384,0.2533753187220465,massachusetts,66852.0,46803.0,19984.0
bernalillo,315323.0,178880.0,128041.0,0.5672913171573276,0.40606298937914453,new mexico,304738.0,187163.0,117575.0
berrien,15215.0,2395.0,12525.0,0.157410450213605,0.8232007886953664,georgia,,,
