ufips,name,cbsa,cbsaname,cbsa_weight,wrluri08
85540.0,"Yuma City, AZ",49740,"Yuma County, AZ",0.8349580447450908,-0.6136038
67800.0,"Snowflake Town, AZ",43320,"Navajo County, AZ",0.17384525433638667,0.42332414
83160.0,"Williams City, AZ",22380,"Coconino County, AZ",0.4895779500430663,-0.418257
27820.0,"Glendale City, AZ",38060,"Phoenix-Mesa-Scottsdale, AZ",0.08844741265084348,1.5313772
39370.0,"Lake Havasu City, AZ",29420,"Mohave County, AZ",0.6763429935329882,-0.7949166
20050.0,"Douglas, AZ",43420,"Cochise County, AZ",0.6289330286517841,0.01780119
63470.0,"San Luis, AZ",49740,"Yuma County, AZ",0.16504195525490914,1.172722
37620.0,"Kingman City , AZ",29420,"Mohave County, AZ",0.3236570064670118,-0.627306
85400.0,"Town of Youngtown, AZ",38060,"Phoenix-Mesa-Scottsdale, AZ",0.001216691552926891,-0.15069188
20960.0,"Eagar Town, AZ", , ,0.0035077953423644785,1.8564
27400.0,"Gilbert Town, AZ",38060,"Phoenix-Mesa-Scottsdale, AZ",0.044341333316086765,1.19275
11300.0,"Town of Cave Creek, AZ",38060,"Phoenix-Mesa-Scottsdale, AZ",0.0015069189731931726,1.6993965
10530.0,"Casa Grande City, AZ",38060,"Phoenix-Mesa-Scottsdale, AZ",0.0101959560568199,0.32389823
71300.0,"Superior Town, AZ",38060,"Phoenix-Mesa-Scottsdale, AZ",0.0013153203698418948,0.6044621
72420.0,"Town of Taylor, AZ",43320,"Navajo County, AZ",0.12379653089066459,0.092489906
74190.0,"Tolleson City, AZ",38060,"Phoenix-Mesa-Scottsdale, AZ",0.002010572685800118,0.4214278
55980.0,"Town of Pinetop-Lakeside, AZ",43320,"Navajo County, AZ",0.13962190606119665,0.25591916
54050.0,"Peoria City, AZ",38060,"Phoenix-Mesa-Scottsdale, AZ",0.04380210855475637,1.1058743
54050.0,"Peoria City, AZ",39140,"Yavapai County, AZ",4.124731892426992e-05,1.1058743
44270.0,"Marana Town, AZ",46060,"Pima County, AZ",0.025423999009746866,1.7813874
4720.0,"Avondale City, AZ",38060,"Phoenix-Mesa-Scottsdale, AZ",0.014504499333447054,0.9282112
22220.0,"El Mirage City, AZ",38060,"Phoenix-Mesa-Scottsdale, AZ",0.003075683065189606,0.2730464
30270.0,"Guadalupe Town, AZ",38060,"Phoenix-Mesa-Scottsdale, AZ",0.002113243667342786,-0.1577242
77000.0,"Tucson City, AZ",46060,"Pima County, AZ",0.9127939579555023,0.12770273
73000.0,"Tempe City, AZ",38060,"Phoenix-Mesa-Scottsdale, AZ",0.06411883640632163,-0.0010213408
5770.0,"Benson, AZ",43420,"Cochise County, AZ",0.20702232378273863,1.1204576
73420.0,"Thatcher Town, AZ",40940,"Graham County, AZ",1.0,-0.49670142
46114.0,"Martinez City, CA",41860,"San Francisco County, CA",0.022704670264453133,0.9548185
70224.0,"Santee City, CA",41740,"San Diego County, CA",0.03242947087469277,0.18114801
26000.0,"Fremont City, CA",41860,"San Francisco County, CA",0.12876889233544875,0.49930224
14890.0,"Colton City, CA",40140,"Riverside-San Bernardino-Ontario, CA",0.05254946840824571,-0.15532377
60102.0,"Redwood City, CA",41860,"San Francisco County, CA",0.04773260322534698,0.55192775
3526.0,"Bakersfield, CA",12540,"Kern County, CA",0.8360671271307178,-0.10836981
44000.0,"Los Angeles City, CA",31100,31100,0.5111827893317942,2.1028304
13294.0,"City of Chowchilla, CA",31460,"Madera County, CA",1.0,0.04607693
84816.0,"West Sacramento City, CA",40900,"Placer County, CA",0.16154498630584965,0.33807966
46870.0,"Menlo Park City, CA",41860,"San Francisco County, CA",0.019488185861015715,1.5347974
5108.0,"Belmont City, CA",41860,"San Francisco County, CA",0.015903904284109073,1.5809954
82954.0,"City of Vasalia, CA",47300,"Tulare County, CA",0.5879501207171111,0.52207595
70042.0,"City of Santa Paula, CA",37100,"Ventura County, CA",0.057424895633997115,1.8116009
72016.0,"Simi Valley City, CA",37100,"Ventura County, CA",0.22359324266526373,1.193967
30014.0,"Glendora City, CA",31100,31100,0.006836624662319303,3.1392944
8100.0,"Brea City, CA",31100,31100,0.004899016073919387,1.4013692
11530.0,"Carson City, CA",31100,31100,0.012414253383586179,-0.018410595
45484.0,"Manteca City, CA",44700,"San Joaquin County, CA",0.4231677877717928,0.14665149
62364.0,"Rocklin City, CA",40900,"Placer County, CA",0.18563749335731514,0.30102068
55380.0,"Palos Verdes Estates City, CA",31100,31100,0.0018456050388614691,-0.12189069
60242.0,"Reedley City, CA",23420,"Fresno County, CA",0.041973541057467915,1.5620749
39892.0,"City of Lakewood, CA",31100,31100,0.010977476147560965,0.20839474
22230.0,"City of El Monte, CA",31100,31100,0.01604389717627963,1.1333226
28168.0,"Gardena City, CA",31100,31100,0.007989228528792684,0.96155196
60018.0,"Redondo Beach City, CA",31100,31100,0.00875223540955138,0.36909997
9598.0,Calabasasa,31100,31100,0.002771589635945413,0.92292386
31568.0,"Gustine City, CA",32900,"Merced County, CA",0.04743490069769086,0.8757342
54274.0,"City of Orland, CA", , ,0.005463045510883037,1.0563585
11250.0,"Carmel City, CA",41500,"Monterey County, CA",0.06844674035187763,1.1452862
57540.0,"Placerville City, CA",40900,"Placer County, CA",0.04910477046968892,-0.008749635
1640.0,"American Canyon City, CA",34900,"Napa County, CA",0.4673424500334704,0.6255113
68294.0,"San Pablo City, CA",41860,"San Francisco County, CA",0.019127352145219746,-0.12934989
23126.0,"Exeter City, CA",47300,"Tulare County, CA",0.05886885498535984,0.4343767
33434.0,"Hesperia City, CA",40140,"Riverside-San Bernardino-Ontario, CA",0.06899942998457541,-0.21905267
17022.0,"City of Crescent City, CA",18860,"Del Norte County, CA",1.0,-0.4017539
48788.0,"Montclair City, CA",40140,"Riverside-San Bernardino-Ontario, CA",0.03643798794478017,0.4600165
2000.0,"Anaheim, CA",31100,31100,0.04538113127564512,0.5003799
82996.0,"Vista City, CA",41740,"San Diego County, CA",0.055007361290934746,0.4592637
68378.0,"San Ramon, WY",41860,"San Francisco County, CA",0.02831088673303053,1.277277
68154.0,"San Luis Obispo City, CA",42020,"San Luis Obispo County, CA",0.5293976654442607,1.6419622
39304.0,La Habra Heights,31100,31100,0.0007902620676144462,0.74523795
72520.0,"Soledad City, CA",41500,"Monterey County, CA",0.18890361102259196,0.08465535
55156.0,"Palmdale City, CA",31100,31100,0.016141434773910616,-0.024942901
14974.0,"Commerce City, CA",31100,31100,0.0017387979106754832,-0.10014296
36980.0,"Jackson, CA", , ,0.003469525321272478,0.676754
3666.0,"Baldwin Park City, CA",31100,31100,0.010492140129845371,-0.5091435
47710.0,"Mill Valley, CA",41860,"San Francisco County, CA",0.008609365850570528,1.1399554
9892.0,"Calistoga City, CA",34900,"Napa County, CA",0.24815912785693794,1.9029514
3274.0,"Avalon City, CA",31100,31100,0.00043262420963416896,0.36758476
27000.0,"Fresno City, CA",23420,"Fresno County, CA",0.8648134891264343,1.0687594
13214.0,"Chino Hills City, CA",40140,"Riverside-San Bernardino-Ontario, CA",0.07363562894090693,0.6697217
70742.0,"City of Seaside, CA",41500,"Monterey County, CA",0.5316069302114955,0.15394145
55856.0,"City of Parlier, CA",23420,"Fresno County, CA",0.022537825933969934,-0.0076738675
85292.0,"Whittier City, CA",31100,31100,0.011577228609589785,0.7700455
62477.0,"National City City, CA",,,,-0.3189827
58380.0,"Portola Valley Town, CA",41860,"San Francisco County, CA",0.002824631648915125,2.25369
25296.0,"Fortuna, CA",21700,"Humboldt County, CA",1.0,
12524.0,"Ceres City, CA",33700,"Stanislaus County, CA",0.8332891917270604,0.0010309805
64140.0,"Saint Helena City, CA",34900,"Napa County, CA",0.28449842210959164,1.0022163
31393.0,"Grover Beach City, CA",42020,"San Luis Obispo County, CA",0.15659979386879508,0.24749123
49362.0,"Morro Bay City, CA",42020,"San Luis Obispo County, CA",0.12403825411663191,1.8982116
8142.0,"Brentwood City, CA",41860,"San Francisco County, CA",0.014751135518381945,1.1111264
55184.0,"City of Palm Desert, CA",40140,"Riverside-San Bernardino-Ontario, CA",0.045375212377603794,-0.012611655
20018.0,"Dublin City, CA",41860,"San Francisco County, CA",0.018974156076408122,0.06919878
33364.0,"Hermosa Beach City, CA",31100,31100,0.002568628422151577,-0.4261601
71876.0,"Signal Hill City, CA",31100,31100,0.0012912317711914613,0.7278798
65084.0,"San Clemente City, CA",31100,31100,0.0069087056387246125,1.3439164
57288.0,"Pinole, CA",41860,"San Francisco County, CA",0.01205247914919208,1.3969163
51560.0,"Norco City, CA",40140,"Riverside-San Bernardino-Ontario, CA",0.026634163659476975,0.49544805
18394.0,"Delano City, CA",12540,"Kern County, CA",0.13138453937238367,0.014244732
6434.0,"Big Bear Lake City, CA",40140,"Riverside-San Bernardino-Ontario, CA",0.005995636129496038,-0.42463362
87042.0,"Yucaipa City, CA",40140,"Riverside-San Bernardino-Ontario, CA",0.04543254468336581,0.39975393
66000.0,"San Diego, CA",41740,"San Diego County, CA",0.7489233538102715,1.5834326
8758.0,"Buellton City, CA",42060,42060,0.047113266298260945,1.0727736
71225.0,"Shasta Lake City, CA",39820,"Shasta County, CA",0.4996117581808098,-0.02760819
59587.0,"Rancho Santa Margarita City, CA",31100,31100,0.006532113666027392,0.13684072
6308.0,"Beverly Hills City, CA",31100,31100,0.004674057018957712,0.23462178
24638.0,"City of Folsome, CA",40900,"Placer County, CA",0.26511466296038916,1.2096058
86972.0,"Yuba City, CA",49700,"Sutter County, CA",0.8550957266150232,-0.4957787
33798.0,"Hillsborough Town, CA",41860,"San Francisco County, CA",0.006852675392090145,-1.2686107
41474.0,"Lincoln City, CA",40900,"Placer County, CA",0.05725483383068307,0.5240725
