cbsa23,cbsaname23,metro_micro_code,new_permits_total
21860,"fairmont, mn",5,19
21900,"fairmont, wv",5,3
21980,"fallon, nv",5,45
22020,"fargo, nd-mn",2,1487
22060,"faribault-northfield, mn",5,93
22100,"farmington, mo",5,134
22140,"farmington, nm",4,78
22180,"fayetteville, nc",2,1810
22190,"fayetteville, tn",5,173
22220,"fayetteville-springdale-rogers, ar",4,7882
22260,"fergus falls, mn",5,140
22300,"findlay, oh",5,257
22340,"fitzgerald, ga",5,6
22380,"flagstaff, az",4,698
22420,"flint, mi",2,419
22500,"florence, sc",4,852
22520,"florence-muscle shoals, al",2,255
22540,"fond du lac, wi",4,154
22580,"forest city, nc",5,193
22620,"forrest city, ar",5,3
22660,"fort collins, co",4,1786
22700,"fort dodge, ia",5,25
22780,"fort leonard wood, mo",5,62
22800,"fort madison, ia",5,15
22820,"fort morgan, co",5,204
22840,"fort payne, al",5,49
22900,"fort smith, ar-ok",4,560
23060,"fort wayne, in",2,2032
23140,"frankfort, in",5,59
23180,"frankfort, ky",5,195
23190,"franklin, ky",5,204
23240,"fredericksburg, tx",5,52
23300,"freeport, il",5,7
23340,"fremont, ne",5,82
23380,"fremont, oh",5,23
23420,"fresno, ca",2,3772
23460,"gadsden, al",4,119
23500,"gaffney, sc",5,200
23540,"gainesville, fl",2,2067
23580,"gainesville, ga",2,2274
23620,"gainesville, tx",5,190
23660,"galesburg, il",5,0
23680,"gallipolis, oh",5,10
23700,"gallup, nm",5,1
23780,"garden city, ks",5,47
23820,"gardnerville ranchos, nv-ca",5,317
23900,"gettysburg, pa",2,403
23940,"gillette, wy",5,32
23980,"glasgow, ky",5,283
24020,"glens falls, ny",2,286
24100,"gloversville, ny",5,112
24140,"goldsboro, nc",4,605
24180,"granbury, tx",5,125
24220,"grand forks, nd-mn",4,175
24260,"grand island, ne",4,310
24300,"grand junction, co",4,1014
24330,"grand rapids, mn",5,121
24340,"grand rapids-wyoming-kentwood, mi",2,4028
24420,"grants pass, or",2,223
24460,"great bend, ks",5,19
24500,"great falls, mt",4,223
24540,"greeley, co",2,3170
24580,"green bay, wi",2,1775
24600,"greencastle, in",5,166
24620,"greeneville, tn",5,333
24640,"greenfield, ma",5,89
24660,"greensboro-high point, nc",2,4976
24700,"greensburg, in",5,66
24740,"greenville, ms",5,10
24780,"greenville, nc",2,1300
24820,"greenville, oh",5,43
24860,"greenville-anderson-greer, sc",2,8911
24900,"greenwood, ms",5,9
24940,"greenwood, sc",5,338
24980,"grenada, ms",5,93
25060,"gulfport-biloxi, ms",4,3018
25100,"guymon, ok",5,4
25180,"hagerstown-martinsburg, md-wv",2,1794
25200,"hailey, id",5,148
25220,"hammond, la",2,1085
25260,"hanford-corcoran, ca",2,741
25300,"hannibal, mo",5,46
25420,"harrisburg-carlisle, pa",2,1699
25460,"harrison, ar",5,92
25500,"harrisonburg, va",2,770
25540,"hartford-west hartford-east hartford, ct",2,2145
25580,"hastings, ne",5,225
25620,"hattiesburg, ms",2,166
25700,"hays, ks",5,34
25720,"heber, ut",5,1752
25740,"helena, mt",4,471
25770,"hemlock farms, pa",5,213
25775,"henderson, ky",5,98
25780,"henderson, nc",5,73
25820,"hereford, tx",5,23
25840,"hermiston-pendleton, or",5,262
25850,"hermitage, pa",5,62
25860,"hickory-lenoir-morganton, nc",2,2768
25880,"hillsdale, mi",5,72
25900,"hilo-kailua, hi",5,982
25940,"hilton head island-bluffton-port royal, sc",4,3209
25980,"hinesville, ga",2,769
26020,"hobbs, nm",5,172
26090,"holland, mi",5,419
26140,"homosassa springs, fl",4,2443
26220,"hood river, or",5,36
26300,"hot springs, ar",2,117
26340,"houghton, mi",5,136
26380,"houma-bayou cane-thibodaux, la",4,619
26420,"houston-pasadena-the woodlands, tx",2,65871
26460,"hudson, ny",5,136
26500,"huntingdon, pa",5,70
26540,"huntington, in",5,79
26580,"huntington-ashland, wv-ky-oh",2,280
26620,"huntsville, al",2,5203
26660,"huntsville, tx",5,527
26700,"huron, sd",5,30
26740,"hutchinson, ks",5,40
26780,"hutchinson, mn",5,57
26820,"idaho falls, id",2,2545
26860,"indiana, pa",5,44
26900,"indianapolis-carmel-greenwood, in",2,11890
26980,"iowa city, ia",2,756
27020,"iron mountain, mi-wi",5,80
27060,"ithaca, ny",2,382
27100,"jackson, mi",4,317
27140,"jackson, ms",2,1126
27180,"jackson, tn",4,446
27220,"jackson, wy-id",5,482
27260,"jacksonville, fl",2,15006
27300,"jacksonville, il",5,3
27340,"jacksonville, nc",4,1246
27380,"jacksonville, tx",5,39
27420,"jamestown, nd",5,19
27460,"jamestown-dunkirk, ny",5,127
27500,"janesville-beloit, wi",2,629
27540,"jasper, in",5,197
27620,"jefferson city, mo",2,219
27600,"jefferson, ga",5,2167
27700,"jesup, ga",5,163
27740,"johnson city, tn",2,1363
27780,"johnstown, pa",2,64
27860,"jonesboro, ar",2,993
27900,"joplin, mo-ks",2,729
27940,"juneau, ak",5,114
27980,"kahului-wailuku, hi",4,906
28020,"kalamazoo-portage, mi",2,339
28060,"kalispell, mt",5,281
28100,"kankakee, il",2,145
28140,"kansas city, mo-ks",2,9337
28180,"kapaa, hi",5,141
28260,"kearney, ne",5,135
28300,"keene, nh",5,166
28340,"kendallville, in",5,131
28380,"kennett, mo",5,30
28420,"kennewick-richland, wa",2,2513
28450,"kenosha, wi",2,259
28500,"kerrville, tx",5,422
28540,"ketchikan, ak",5,73
28580,"key west-key largo, fl",5,332
28620,"kill devil hills, nc",5,371
28660,"killeen-temple, tx",4,3626
28680,"kingsland, ga",5,383
28700,"kingsport-bristol, tn-va",2,740
28740,"kingston, ny",2,464
28780,"kingsville, tx",5,24
28820,"kinston, nc",5,148
28860,"kirksville, mo",5,26
28880,"kiryas joel-poughkeepsie-newburgh, ny",2,2366
28900,"klamath falls, or",5,232
28940,"knoxville, tn",2,7001
29020,"kokomo, in",2,194
29100,"la crosse-onalaska, wi-mn",2,433
29260,"la grande, or",5,38
29060,"laconia, nh",5,301
29180,"lafayette, la",2,2004
29200,"lafayette-west lafayette, in",2,1400
29300,"lagrange, ga-al",5,517
29340,"lake charles, la",2,1394
29380,"lake city, fl",5,178
29420,"lake havasu city-kingman, az",4,2543
29470,"lake of the woods, va",5,412
29460,"lakeland-winter haven, fl",2,10384
29540,"lancaster, pa",4,1093
29620,"lansing-east lansing, mi",2,602
29660,"laramie, wy",5,99
29700,"laredo, tx",4,1448
29740,"las cruces, nm",2,964
29780,"las vegas, nm",5,0
29820,"las vegas-henderson-north las vegas, nv",2,14754
29860,"laurel, ms",5,26
29900,"laurinburg, nc",5,70
29940,"lawrence, ks",2,246
29980,"lawrenceburg, tn",5,27
30020,"lawton, ok",2,133
30180,"le mars, ia",5,147
30060,"lebanon, mo",5,61
30140,"lebanon, pa",2,315
30150,"lebanon-claremont, nh-vt",5,998
30260,"lewisburg, pa",5,49
30280,"lewisburg, tn",5,400
30300,"lewiston, id-wa",4,226
30340,"lewiston-auburn, me",2,358
30380,"lewistown, pa",5,58
30500,"lexington park, md",2,366
30420,"lexington, ne",5,69
30460,"lexington-fayette, ky",2,2201
30580,"liberal, ks",5,23
30620,"lima, oh",2,88
30660,"lincoln, il",5,10
30700,"lincoln, ne",2,2034
30780,"little rock-north little rock-conway, ar",2,2530
30820,"lock haven, pa",5,44
30860,"logan, ut-id",4,1111
30900,"logansport, in",5,22
30980,"longview, tx",4,316
31020,"longview-kelso, wa",2,348
31060,"los alamos, nm",5,14
31080,"los angeles-long beach-anaheim, ca",2,26671
31140,"louisville-jefferson county, ky-in",2,5771
31180,"lubbock, tx",2,2231
31220,"ludington, mi",5,177
31260,"lufkin, tx",5,120
31300,"lumberton, nc",5,337
31340,"lynchburg, va",4,1404
31380,"macomb, il",5,0
31420,"macon-bibb county, ga",2,591
31500,"madison, in",5,94
31540,"madison, wi",2,5872
31580,"madisonville, ky",5,122
31620,"magnolia, ar",5,14
31680,"malvern, ar",5,4
31700,"manchester-nashua, nh",2,981
31740,"manhattan, ks",4,339
31820,"manitowoc, wi",5,100
31860,"mankato, mn",2,378
31900,"mansfield, oh",2,145
31930,"marietta, oh",5,3
31940,"marinette, wi-mi",5,171
31980,"marion, in",5,52
32000,"marion, nc",5,175
32020,"marion, oh",5,53
32060,"marion-herrin, il",5,130
32100,"marquette, mi",5,91
32140,"marshall, mn",5,91
32180,"marshall, mo",5,11
32260,"marshalltown, ia",5,35
32280,"martin, tn",5,69
32300,"martinsville, va",5,38
32340,"maryville, mo",5,49
32380,"mason city, ia",5,54
32390,"massena-ogdensburg, ny",5,215
32460,"mayfield, ky",5,9
32540,"mcalester, ok",5,46
32580,"mcallen-edinburg-mission, tx",2,7378
32620,"mccomb, ms",5,10
32660,"mcminnville, tn",5,282
32700,"mcpherson, ks",5,102
32740,"meadville, pa",5,83
32780,"medford, or",2,904
32820,"memphis, tn-ms-ar",2,4205
32860,"menomonie, wi",5,151
32900,"merced, ca",2,459
32940,"meridian, ms",5,18
33020,"mexico, mo",5,27
33060,"miami, ok",5,3
33100,"miami-fort lauderdale-west palm beach, fl",2,16136
