,Unnamed: 0,cbsa,cbsa_name,accessory apartments banned,no flexible zoning by right,no flexible zoning by permit,affordable incentive,affordable mandate,zoning district count,permit cap or phasing,wetlands restricted in lot size calc,longest frontage requirement,highest res min lot size,mean res min lot size,lowest res min lot size,mandatory approval steps,distinct approval bodies,public hearing requirements,max review waiting time,multifamily not allowed,no mixed-use buildings,no conversion to multifamily,townhouses not allowed,age-restricted provisions,first_pc,second_pc,third_pc,overall_index,local_political_pressure_2018,state_involvement_2018,court_involvement_2018,local_project_2018,local_zoning_2018,local_assembly_2018,supply_restrictions_2018,density_restriction_2018,open_space_2018,exactions_2018,affordable_housing_2018,approval_delay_2018,wrluri18,z_score,overall_index_z,wrluri18_z,first_pc_z,second_pc_z,affordability_index_2010,affordability_index_2023
10,46.0,12620,"Bangor, ME",1.0,1.0,1.0,0.0,0.0,20.0,0.0,0.0,50.0,80000.0,35000.0,20000.0,5.0,2.0,1.0,115.0,1.0,1.0,0.0,1.0,0.0,1.407372783300654,0.2149553714500761,-1.747566016120797,-4.669137317041756,8.025089494163426,2.5081400778210123,3.1655719844357977,2.2843891050583656,2.7318599221789883,0.293260700389105,0.0,3.6442023346303505,0.25385214007782103,0.25385214007782103,0.15828793774319067,4.328561514145671,-0.2314380646851277,-0.6568674942738074,-0.8942482500035871,-0.18647928764189142,1.3737372325268198,0.7656594021529424,2.0361715931832025,1.332185989464977
11,48.0,12700,"Barnstable Town, MA",1.0,0.0335991751827031,1.0,0.9011614155320374,0.1794826697395154,22.267198350365405,0.560026685265488,0.340497922794675,140.41907996482396,72153.57291445552,46137.6010097947,25705.57509779543,4.8847984959214,2.8981168693331716,0.6206568214209904,224.60062467780577,1.0,0.7799132728871638,0.3979076325924129,0.6914212936288928,0.6681929829881432,3.066912117015692,1.7949116912791463,-0.2876474412919646,7.722328994152714,9.46218487394958,2.7373949579831933,4.0,3.674669867947179,2.9501800720288114,0.5249099639855943,0.7373949579831933,3.2124849939975992,0.0,0.0,0.26260504201680673,5.633215786314525,0.5746213311356317,2.7373761326522,2.599281508767339,0.8846623285716935,2.926716800137203,2.542280974485159,0.996067256615311,0.6502327276626637
12,49.0,12740,"Barre, VT",1.0,1.0,1.0,0.0,0.0,11.0,0.0,0.0,200.0,87120.0,49315.0,8500.0,4.0,2.0,0.0,135.0,1.0,1.0,1.0,0.0,1.0,1.076796781379073,1.089025141290311,-1.859490718370713,-6.977331303972096,8.11643758131116,2.3931500650489284,2.617795124158606,2.8636235081169747,1.7690480230782284,0.08165054584535321,0.0,2.9759601787431413,0.22215623055602696,0.22410769839923075,0.25600995531421467,4.011522575595057,-0.5609972231295309,-1.2891229943972653,-1.5449980628060038,-0.6244178954471943,1.0643876641876948,1.7485291114811208,,
13,52.0,12980,"Battle Creek, MI",0.7858240876888116,0.0,0.8914583611816602,0.0,0.0,14.617397406763802,0.0,0.0,50.22122710867531,6195.612217617965,5135.913759301341,4114.9244753375215,3.046451009223366,3.2664416521855366,0.0,220.03228178051063,0.9175912311188344,0.8090495923004946,0.0,0.8090495923004946,1.0,-0.0495126616938201,-1.0870178100367158,0.1048790947578159,-4.248982250042499,5.811518966644867,2.0620912361020274,2.215009810333551,2.0515042511445394,3.5866988227599736,0.710104643557881,0.0,1.3066137998691956,0.4950948332243296,0.4950948332243296,0.0,3.7965607627534332,-0.7157571248873397,-0.5417795278727249,-0.7757938078094249,-0.8300724317672157,0.01039905640747085,-0.6983770473342753,2.773998063953951,1.6149804327137207
14,53.0,13020,"Bay City, MI",0.0,0.0,1.0,0.0,0.0,14.4783542039356,0.0,0.0,47.10196779964222,5202.862254025044,5202.862254025044,5202.862254025044,3.942039355992845,3.942039355992845,0.0,255.07334525939177,1.0,1.0,0.9420393559928444,0.9420393559928444,1.0,-0.063554226733907,-1.5091840749304335,-0.5672175838250205,-5.613680000939138,7.459397427957304,2.245764873037269,2.97176582024846,3.356916463259135,3.3545120040802945,0.30033881015701835,0.0,1.2323217603555683,0.12823782287150712,0.12510473969907823,0.06488396662902111,2.935994885494081,-0.6024366656853782,-0.9155945815017301,-1.16054344798543,-0.679485191609735,-0.002740893433737078,-1.1730925087099662,3.1613524797127877,1.7245806834483124
15,58.0,13260,"Bedford, IN",0.0,1.0,1.0,0.0,0.0,14.0,0.0,0.0,75.0,8700.0,6108.0,2640.0,5.0,3.0,1.0,330.0,1.0,1.0,0.0,0.0,1.0,0.0041024660278399,-0.5218622493798697,-0.3697975794582827,-1.439743228359427,6.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22772114350831005,0.01621577969873057,0.12106993757090816,0.06057153269350522,-0.06287368044683636,,
16,60.0,13340,"Bellefontaine, OH",0.0,0.0,0.8978384253109528,0.0,0.0,10.180050718512256,0.0,0.0,58.834078009902186,9414.949885279557,7321.6801513504815,5515.094795314575,6.973795435333897,3.102161574689047,0.2305277140441975,134.80787344523608,1.0,0.8978384253109528,0.2305277140441975,0.8978384253109528,0.0,-1.1513617489010588,-0.9980793146038076,-0.4819252109707129,-4.2921017771190915,5.0,1.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.5,-2.2163939476013184,-0.5535907353844272,-0.7879505088198707,-2.8242115237069125,-1.0206998059451444,-0.5983679220098679,,
17,62.0,13420,"Bemidji, MN",0.0,0.0,1.0,0.0,0.0,12.0,0.0,1.0,0.0,30000.0,30000.0,30000.0,5.0,4.0,0.0,202.0,1.0,0.0,0.0,1.0,0.0,-0.2653272081862759,1.016279651943518,-0.920705001656641,3.8916960459524703,7.0,2.0,4.0,6.0,10.0,0.0,0.0,4.0,0.0,0.0,0.0,5.4166669845581055,0.6993975043296814,1.6880974480323387,1.5193100297361406,1.0504726305332879,-0.1915579411079825,1.6667286186185348,,
18,67.0,13780,"Binghamton, NY",0.0,0.0,1.0,0.0,0.0,17.0,0.0,0.0,240.0,9000.0,9000.0,9000.0,5.0,1.0,0.0,720.0,1.0,0.0,0.0,1.0,0.0,-0.4877749801741936,0.4014369801492086,-0.3885958118599921,1.977035217169529,8.92079395982715,2.2957405384871077,4.210123937508904,4.518543140699938,3.531696661759817,0.6018329455339759,0.0,3.3683460753122176,0.2506291846716368,0.36834607531221797,0.0,3.0680884657391134,0.36269678763386826,1.1636376986683494,0.9795091364985562,0.6030438780967579,-0.39972224173010223,0.9753533314724168,2.88635784883612,1.8689605736440809
19,69.0,13900,"Bismarck, ND",0.8717785555202037,0.0,1.0,0.0,0.0,19.102449888641427,0.0,0.0,36.66878778237353,18795.73655742921,11759.90295895641,7000.0,4.0,3.871778555520203,0.0,220.5631562201718,1.0,0.1282214444797963,0.0,1.0,0.1282214444797963,-0.2623699344695688,-1.0402138827433316,-0.1605971672142794,-3.5861252562121355,10.539132620993087,2.230433689503457,2.230433689503457,5.078265241986173,5.078265241986173,0.0,0.0,1.0,1.0,0.0,0.0,1.6923915776241358,0.21080543105067281,-0.3602111750750029,-0.5889143396657883,0.40120124215336844,-0.18879055526507124,-0.645747195574645,2.2394261476423947,1.3236928325825836
