hud_id,project,proj_cty,proj_st,proj_zip,fips2020,yr_pis,n_units,li_units
CAA20210049,METRO EAST SENIOR PARK (FKA VILLA CT. SR. APTS),SANTA ANA,CA,92705,06059075403,2021,418.0,415.0
CAA20210051,MIRAMAR TOWER,LOS ANGELES,CA,90057,06037208401,2021,157.0,156.0
CAA20210052,MISSION BAY SOUTH BLOCK 6 WEST,SAN FRANCISCO,CA,94158,06075060701,2021,152.0,151.0
CAA20210053,MONARCH HOMES,OAKLAND,CA,94608,06001401400,2021,51.0,50.0
CAA20210055,NOVA APARTMENTS,OAKLAND,CA,94609,06001401300,2021,57.0,56.0
CAA20210061,PARKSIDE TERRACE,SAN JOSE,CA,95116,06085501401,2021,201.0,200.0
CAA20210064,RISE APARTMENTS,LOS ANGELES,CA,90037,06037231720,2021,57.0,56.0
CAA20210069,SIERRA HEIGHTS APARTMENTS,OROVILLE,CA,95966,06007002700,2021,40.0,39.0
CAA20210071,SPRINGHAVEN (FKA WILLOWBROOK 2),LOS ANGELES,CA,90059,06037540700,2021,100.0,99.0
CAA20210073,SUMMER PARK APARTMENTS,FRESNO,CA,93727,06019001407,2021,248.0,246.0
CAA20210074,SYCAMORE RIDGE FAMILY APARTMENTS,WILLOWS,CA,95988,06021010402,2021,24.0,23.0
CAA20210077,THE TERRACES AT NEVIN (FKA: TWENTY ONE AND TWENTY THREE NEVIN),RICHMOND,CA,94801,06013376000,2021,271.0,268.0
CAA20210081,VICTORY TRIO,SACRAMENTO,CA,95838,06067006705,2021,91.0,89.0
CAA20210083,VIRGINIA HOLT APARTMENTS,ONTARIO,CA,91764,06071001503,2021,101.0,100.0
CAA20210085,WARM SPRINGS TOD VILLAGE AFFORDABLE #1,FREMONT,CA,94539,06001441525,2021,71.0,70.0
CAA20210088,WINDSOR VETERANS VILLAGE,WINDSOR,CA,95492,06097153810,2021,60.0,59.0
CAA20210089,WOODBRIDGE APARTMENTS,LONG BEACH,CA,90813,06037576301,2021,49.0,47.0
CAA20210090,WOODLAKE TERRACE,WOODLAKE,CA,93286,06107000701,2021,31.0,30.0
CAA20211002,14C VHHP APARTMENTS,SAN DIEGO,CA,92101,06073005101,2021,81.0,80.0
CAA20211003,14TH + COMMERCIAL APARTMENTS,SAN DIEGO,CA,92101,06073005101,2021,326.0,323.0
CAA20211004,2060 FOLSOM STREET,SAN FRANCISCO,CA,94110,06075017700,2021,127.0,126.0
CAA20211005,735 DAVIS,SAN FRANCISCO,CA,94111,06075010500,2021,53.0,52.0
CAA20211006,88 BROADWAY,SAN FRANCISCO,CA,94111,06075010500,2021,115.0,114.0
CAA20211007,950 ECR,MOUNTAIN VIEW,CA,94040,06085509600,2021,71.0,70.0
CAA20211008,ABEL GONZALES APARTMENTS,SAN FRANCISCO,CA,94110,06075020900,2021,30.0,29.0
CAA20211011,ARROWHEAD GROVE PHASE 2 (FKA WATERMAN GARDENS PHAS,SAN BERNARDINO,CA,92410,06071006401,2021,184.0,147.0
CAA20211012,ASHLEY WILLOWBROOK,LOS ANGELES,CA,90059,06037540700,2021,61.0,60.0
CAA20211013,BLACKSTONE + MCKINLEY TOD,FRESNO,CA,93728,06019002400,2021,88.0,87.0
CAA20211014,BLOOM AT MAGNOLIA,LONG BEACH,CA,90813,06037575401,2021,40.0,39.0
CAA20211018,CINNAMON VILLAS II,LEMOORE,CA,93245,06031000407,2021,28.0,27.0
CAA20211023,EMERSON APARTMENTS,LOS ANGELES,CA,90029,06037192520,2021,39.0,38.0
CAA20211024,FIRST POINT II,SAN FRANCISCO,CA,94103,06075017700,2021,143.0,142.0
CAA20211025,FLORENCE APARTMENTS,LOS ANGELES,CA,90001,06037535002,2021,109.0,108.0
CAA20211027,FREDERICK DOUGLAS HAYNES GARDENS APARTMENTS,SAN FRANCISCO,CA,94115,06075016102,2021,104.0,103.0
CAA20211028,GRAND AVE VILLA APARTMENTS,SACRAMENTO,CA,95838,06067006501,2021,18.0,17.0
CAA20211029,GRANT HEIGHTS II,SAN DIEGO,CA,92102,06073004800,2021,42.0,41.0
CAA20211032,KEELER COURT APARTMENTS,SAN DIEGO,CA,92113,06073003502,2021,71.0,70.0
CAA20211033,LA PAZ APARTMENTS (FKA WHITTIER + DOWNEY NW),LOS ANGELES,CA,90023,06037531202,2021,42.0,41.0
CAA20211036,LIBERTY SQUARE (HYBRID 4%),STOCKTON,CA,95202,06077000402,2021,43.0,42.0
CAA20211038,LONGSHORE COVE APARTMENTS,VALLEJO,CA,94590,06095250900,2021,236.0,234.0
CAA20211039,MANZANITA (FKA BERMUDA GARDENS),SAN LEANDRO,CA,94578,06001434000,2021,80.0,79.0
CAA20211040,MARINER'S VILLAGE,SAN DIEGO,CA,92139,06073003208,2021,172.0,155.0
CAA20211041,MCCADDEN CAMPUS SENIOR HOUSING,LOS ANGELES,CA,90038,06037191901,2021,98.0,97.0
CAA20211042,MCCADDEN PLAZA YOUTH HOUSING,LOS ANGELES,CA,90038,06037191901,2021,26.0,25.0
CAA20211045,OAK GROVE NORTH + SOUTH,OAKLAND,CA,94612,06001402900,2021,151.0,149.0
CAA20211046,OAKLAND STATION SENIOR APARTMENTS (FKA OAKLAND INTERNATIONAL),OAKLAND,CA,94603,06001410400,2021,324.0,321.0
CAA20211050,PLAZA DE CABRILLO,LONG BEACH,CA,90810,06037578000,2021,204.0,200.0
CAA20211051,QUETZAL GARDENS,SAN JOSE,CA,95116,06085503601,2021,71.0,70.0
CAA20211054,THE HOPE ON ALVARADO APARTMENTS,LOS ANGELES,CA,90057,06037208401,2021,84.0,83.0
CAA20211055,THE POINTE ON VERMONT,LOS ANGELES,CA,90044,06037237720,2021,50.0,49.0
CAA20211057,UKIAH SENIOR APARTMENTS,UKIAH,CA,95482,06045011600,2021,31.0,30.0
CAA20211058,WILLETT RANCH,VENTURA,CA,93001,06111002200,2021,50.0,49.0
CAA20211060,WILLOW VIEW APARTMENTS,BAY POINT,CA,94565,06013355202,2021,193.0,191.0
CAA20220005,SIERRA SUNRISE SENIOR APARTMENTS,CARMICHAEL,CA,95608,06067007603,2022,119.0,118.0
CAA20220007,1064 MISSION PERMANENT SUPPORTIVE HOUSING,SAN FRANCISCO,CA,94103,06075017803,2022,258.0,256.0
CAA20220009,ALTRUDY LANE SENIORS,YORBA LINDA,CA,92886,06059021802,2022,48.0,47.0
CAA20220012,CADENCE (FKA: 11408 S CENTRAL AVENUE),LOS ANGELES,CA,90059,06037242600,2022,64.0,63.0
CAA20220013,CASA DE ROSAS,LOS ANGELES,CA,90007,06037224701,2022,37.0,36.0
