cbsa23,cbsaname23,li_lihtc_units,new_permits_total,cbsatype23
21980.0,"fallon, nv",0.0,45.0,micro
22020.0,"fargo, nd-mn",20.0,1487.0,metro
22060.0,"faribault-northfield, mn",0.0,93.0,micro
22100.0,"farmington, mo",0.0,134.0,micro
22140.0,"farmington, nm",0.0,78.0,metro
22180.0,"fayetteville, nc",0.0,1810.0,metro
22190.0,"fayetteville, tn",0.0,173.0,micro
22220.0,"fayetteville-springdale-rogers, ar",0.0,7882.0,metro
22260.0,"fergus falls, mn",65.0,140.0,micro
22300.0,"findlay, oh",0.0,257.0,micro
22340.0,"fitzgerald, ga",0.0,6.0,micro
22380.0,"flagstaff, az",0.0,698.0,metro
22420.0,"flint, mi",80.0,419.0,metro
22500.0,"florence, sc",0.0,852.0,metro
22520.0,"florence-muscle shoals, al",0.0,255.0,metro
22540.0,"fond du lac, wi",0.0,154.0,metro
22580.0,"forest city, nc",0.0,193.0,micro
22620.0,"forrest city, ar",0.0,3.0,micro
22660.0,"fort collins, co",,1786.0,metro
22660.0,"fort collins-loveland, co",101.0,,metro
22700.0,"fort dodge, ia",0.0,25.0,micro
22780.0,"fort leonard wood, mo",0.0,62.0,micro
22800.0,"fort madison, ia",0.0,15.0,micro
22820.0,"fort morgan, co",0.0,204.0,micro
22840.0,"fort payne, al",0.0,49.0,micro
22900.0,"fort smith, ar-ok",0.0,560.0,metro
23060.0,"fort wayne, in",171.5,2032.0,metro
23140.0,"frankfort, in",0.0,59.0,micro
23180.0,"frankfort, ky",0.0,195.0,micro
23190.0,"franklin, ky",0.0,204.0,micro
23240.0,"fredericksburg, tx",0.0,52.0,micro
23300.0,"freeport, il",0.0,7.0,micro
23340.0,"fremont, ne",0.0,82.0,micro
23380.0,"fremont, oh",0.0,23.0,micro
23420.0,"fresno, ca",215.0,3772.0,metro
23460.0,"gadsden, al",0.0,119.0,metro
23500.0,"gaffney, sc",0.0,200.0,micro
23540.0,"gainesville, fl",0.0,2067.0,metro
23580.0,"gainesville, ga",0.0,2274.0,metro
23620.0,"gainesville, tx",0.0,190.0,micro
23660.0,"galesburg, il",61.5,0.0,micro
23680.0,"gallipolis, oh",0.0,10.0,micro
23700.0,"gallup, nm",0.0,1.0,micro
23780.0,"garden city, ks",0.0,47.0,micro
23820.0,"gardnerville ranchos, nv-ca",0.0,317.0,micro
23900.0,"gettysburg, pa",0.0,403.0,metro
23940.0,"gillette, wy",0.0,32.0,micro
23980.0,"glasgow, ky",0.0,283.0,micro
24020.0,"glens falls, ny",0.0,286.0,metro
24100.0,"gloversville, ny",0.0,112.0,micro
24140.0,"goldsboro, nc",0.0,605.0,metro
24180.0,"granbury, tx",0.0,125.0,micro
24220.0,"grand forks, nd-mn",0.0,175.0,metro
24260.0,"grand island, ne",0.0,310.0,metro
24300.0,"grand junction, co",0.0,1014.0,metro
24330.0,"grand rapids, mn",0.0,121.0,micro
24340.0,"grand rapids-wyoming-kentwood, mi",76.5,4028.0,metro
24420.0,"grants pass, or",0.0,223.0,metro
24460.0,"great bend, ks",0.0,19.0,micro
24500.0,"great falls, mt",0.0,223.0,metro
24540.0,"greeley, co",25.5,3170.0,metro
24580.0,"green bay, wi",0.0,1775.0,metro
24600.0,"greencastle, in",0.0,166.0,micro
24620.0,"greeneville, tn",20.0,333.0,micro
24640.0,"greenfield, ma",0.0,89.0,micro
24660.0,"greensboro-high point, nc",0.0,4976.0,metro
24700.0,"greensburg, in",0.0,66.0,micro
24740.0,"greenville, ms",39.0,10.0,micro
24780.0,"greenville, nc",0.0,1300.0,metro
24820.0,"greenville, oh",0.0,43.0,micro
24860.0,"greenville-anderson-greer, sc",53.333333333333336,8911.0,metro
24900.0,"greenwood, ms",0.0,9.0,micro
24940.0,"greenwood, sc",0.0,338.0,micro
24980.0,"grenada, ms",0.0,93.0,micro
25020.0,"guayama, pr",0.0,,metro
25060.0,"gulfport-biloxi, ms",40.0,3018.0,metro
25100.0,"guymon, ok",0.0,4.0,micro
25180.0,"hagerstown-martinsburg, md-wv",0.0,1794.0,metro
25200.0,"hailey, id",0.0,148.0,micro
25220.0,"hammond, la",0.0,1085.0,metro
25260.0,"hanford-corcoran, ca",13.5,741.0,metro
25300.0,"hannibal, mo",0.0,46.0,micro
25420.0,"harrisburg-carlisle, pa",0.0,1699.0,metro
25460.0,"harrison, ar",0.0,92.0,micro
25500.0,"harrisonburg, va",0.0,770.0,metro
25540.0,"hartford-west hartford-east hartford, ct",,2145.0,
25580.0,"hastings, ne",0.0,225.0,micro
25620.0,"hattiesburg, ms",12.0,166.0,metro
25700.0,"hays, ks",0.0,34.0,micro
25720.0,"heber, ut",0.0,1752.0,micro
25740.0,"helena, mt",24.0,471.0,metro
25770.0,"hemlock farms, pa",0.0,213.0,micro
25775.0,"henderson, ky",0.0,98.0,micro
25780.0,"henderson, nc",0.0,73.0,micro
25820.0,"hereford, tx",0.0,23.0,micro
25840.0,"hermiston-pendleton, or",0.0,262.0,micro
25850.0,"hermitage, pa",0.0,62.0,micro
25860.0,"hickory-lenoir-morganton, nc",0.0,2768.0,metro
25880.0,"hillsdale, mi",0.0,72.0,micro
25900.0,"hilo-kailua, hi",46.0,982.0,micro
25940.0,"hilton head island-bluffton-port royal, sc",0.0,3209.0,metro
25980.0,"hinesville, ga",0.0,769.0,metro
26020.0,"hobbs, nm",0.0,172.0,micro
26090.0,"holland, mi",0.0,419.0,micro
26140.0,"homosassa springs, fl",0.0,2443.0,metro
26220.0,"hood river, or",0.0,36.0,micro
26300.0,"hot springs, ar",0.0,117.0,metro
26340.0,"houghton, mi",0.0,136.0,micro
26380.0,"houma-bayou cane-thibodaux, la",0.0,619.0,metro
26420.0,"houston-pasadena-the woodlands, tx",439.0,65871.0,metro
26460.0,"hudson, ny",0.0,136.0,micro
26500.0,"huntingdon, pa",0.0,70.0,micro
26540.0,"huntington, in",0.0,79.0,micro
26580.0,"huntington-ashland, wv-ky-oh",0.0,280.0,metro
26620.0,"huntsville, al",0.0,5203.0,metro
26660.0,"huntsville, tx",0.0,527.0,micro
26700.0,"huron, sd",0.0,30.0,micro
26740.0,"hutchinson, ks",0.0,40.0,micro
26780.0,"hutchinson, mn",0.0,57.0,micro
26820.0,"idaho falls, id",0.0,2545.0,metro
26860.0,"indiana, pa",0.0,44.0,micro
26900.0,"indianapolis-carmel-greenwood, in",291.25,11890.0,metro
26980.0,"iowa city, ia",0.0,756.0,metro
27020.0,"iron mountain, mi-wi",0.0,80.0,micro
27060.0,"ithaca, ny",55.5,382.0,metro
27100.0,"jackson, mi",145.0,317.0,metro
27140.0,"jackson, ms",169.33333333333334,1126.0,metro
27180.0,"jackson, tn",0.0,446.0,metro
27220.0,"jackson, wy-id",0.0,482.0,micro
27260.0,"jacksonville, fl",106.33333333333333,15006.0,metro
27300.0,"jacksonville, il",0.0,3.0,micro
27340.0,"jacksonville, nc",0.0,1246.0,metro
27380.0,"jacksonville, tx",0.0,39.0,micro
27420.0,"jamestown, nd",0.0,19.0,micro
27460.0,"jamestown-dunkirk, ny",0.0,127.0,micro
27500.0,"janesville-beloit, wi",0.0,629.0,metro
27540.0,"jasper, in",0.0,197.0,micro
27600.0,"jefferson, ga",0.0,2167.0,micro
27620.0,"jefferson city, mo",0.0,219.0,metro
27700.0,"jesup, ga",0.0,163.0,micro
27740.0,"johnson city, tn",0.0,1363.0,metro
27780.0,"johnstown, pa",0.0,64.0,metro
27860.0,"jonesboro, ar",0.0,993.0,metro
27900.0,"joplin, mo-ks",0.0,729.0,metro
27940.0,"juneau, ak",0.0,114.0,micro
27980.0,"kahului-wailuku, hi",110.5,906.0,metro
28020.0,"kalamazoo-portage, mi",19.5,339.0,metro
28060.0,"kalispell, mt",0.0,281.0,micro
28100.0,"kankakee, il",0.0,145.0,metro
28140.0,"kansas city, mo-ks",162.5,9337.0,metro
28180.0,"kapaa, hi",0.0,141.0,micro
28260.0,"kearney, ne",0.0,135.0,micro
28300.0,"keene, nh",45.0,166.0,micro
28340.0,"kendallville, in",75.0,131.0,micro
28380.0,"kennett, mo",0.0,30.0,micro
28420.0,"kennewick-richland, wa",0.0,2513.0,metro
28450.0,"kenosha, wi",55.5,259.0,metro
28500.0,"kerrville, tx",0.0,422.0,micro
28540.0,"ketchikan, ak",0.0,73.0,micro
28580.0,"key west-key largo, fl",0.0,332.0,micro
28620.0,"kill devil hills, nc",0.0,371.0,micro
28660.0,"killeen-temple, tx",0.0,3626.0,metro
28680.0,"kingsland, ga",0.0,383.0,micro
28700.0,"kingsport-bristol, tn-va",161.66666666666666,740.0,metro
28740.0,"kingston, ny",33.0,464.0,metro
28780.0,"kingsville, tx",0.0,24.0,micro
28820.0,"kinston, nc",0.0,148.0,micro
28860.0,"kirksville, mo",0.0,26.0,micro
28880.0,"kiryas joel-poughkeepsie-newburgh, ny",0.0,2366.0,metro
28900.0,"klamath falls, or",0.0,232.0,micro
28940.0,"knoxville, tn",278.0,7001.0,metro
29020.0,"kokomo, in",167.5,194.0,metro
29060.0,"laconia, nh",0.0,301.0,micro
29100.0,"la crosse-onalaska, wi-mn",0.0,433.0,metro
29180.0,"lafayette, la",0.0,2004.0,metro
29200.0,"lafayette-west lafayette, in",50.0,1400.0,metro
29260.0,"la grande, or",0.0,38.0,micro
29300.0,"lagrange, ga-al",0.0,517.0,micro
29340.0,"lake charles, la",0.0,1394.0,metro
29380.0,"lake city, fl",0.0,178.0,micro
29420.0,"lake havasu city-kingman, az",0.0,2543.0,metro
29460.0,"lakeland-winter haven, fl",69.5,10384.0,metro
29470.0,"lake of the woods, va",0.0,412.0,micro
29540.0,"lancaster, pa",32.0,1093.0,metro
29620.0,"lansing-east lansing, mi",66.0,602.0,metro
29660.0,"laramie, wy",0.0,99.0,micro
29700.0,"laredo, tx",0.0,1448.0,metro
29720.0,"lares, pr",0.0,,micro
29740.0,"las cruces, nm",0.0,964.0,metro
29780.0,"las vegas, nm",0.0,0.0,micro
29820.0,"las vegas-henderson-north las vegas, nv",0.0,14754.0,metro
29860.0,"laurel, ms",0.0,26.0,micro
29900.0,"laurinburg, nc",0.0,70.0,micro
29940.0,"lawrence, ks",0.0,246.0,metro
29980.0,"lawrenceburg, tn",0.0,27.0,micro
30020.0,"lawton, ok",0.0,133.0,metro
30060.0,"lebanon, mo",0.0,61.0,micro
30140.0,"lebanon, pa",0.0,315.0,metro
30150.0,"lebanon-claremont, nh-vt",0.0,998.0,micro
30180.0,"le mars, ia",0.0,147.0,micro
30260.0,"lewisburg, pa",0.0,49.0,micro
30280.0,"lewisburg, tn",0.0,400.0,micro
30300.0,"lewiston, id-wa",0.0,226.0,metro
30340.0,"lewiston-auburn, me",12.5,358.0,metro
30380.0,"lewistown, pa",0.0,58.0,micro
30420.0,"lexington, ne",0.0,69.0,micro
30460.0,"lexington-fayette, ky",0.0,2201.0,metro
30500.0,"lexington park, md",0.0,366.0,metro
30580.0,"liberal, ks",0.0,23.0,micro
30620.0,"lima, oh",0.0,88.0,metro
30660.0,"lincoln, il",0.0,10.0,micro
30700.0,"lincoln, ne",0.0,2034.0,metro
30780.0,"little rock-north little rock-conway, ar",0.0,2530.0,metro
30820.0,"lock haven, pa",0.0,44.0,micro
30860.0,"logan, ut-id",22.5,1111.0,metro
30900.0,"logansport, in",0.0,22.0,micro
30980.0,"longview, tx",0.0,316.0,metro
31020.0,"longview-kelso, wa",0.0,348.0,metro
31060.0,"los alamos, nm",0.0,14.0,micro
31080.0,"los angeles-long beach-anaheim, ca",1187.75,26671.0,metro
31140.0,"louisville-jefferson county, ky-in",,5771.0,metro
31140.0,"louisville/jefferson county, ky-in",185.0,,metro
31180.0,"lubbock, tx",0.0,2231.0,metro
31220.0,"ludington, mi",0.0,177.0,micro
31260.0,"lufkin, tx",0.0,120.0,micro
31300.0,"lumberton, nc",33.0,337.0,micro
31340.0,"lynchburg, va",0.0,1404.0,metro
31380.0,"macomb, il",0.0,0.0,micro
31420.0,"macon-bibb county, ga",0.0,591.0,metro
31500.0,"madison, in",0.0,94.0,micro
31540.0,"madison, wi",67.5,5872.0,metro
31580.0,"madisonville, ky",0.0,122.0,micro
31620.0,"magnolia, ar",0.0,14.0,micro
31680.0,"malvern, ar",0.0,4.0,micro
31700.0,"manchester-nashua, nh",0.0,981.0,metro
31740.0,"manhattan, ks",0.0,339.0,metro
31820.0,"manitowoc, wi",0.0,100.0,micro
31860.0,"mankato, mn",22.5,378.0,metro
31900.0,"mansfield, oh",0.0,145.0,metro
31930.0,"marietta, oh",0.0,3.0,micro
31940.0,"marinette, wi-mi",0.0,171.0,micro
31980.0,"marion, in",0.0,52.0,micro
32000.0,"marion, nc",0.0,175.0,micro
32020.0,"marion, oh",0.0,53.0,micro
32060.0,"marion-herrin, il",0.0,130.0,micro
32100.0,"marquette, mi",129.66666666666666,91.0,micro
32140.0,"marshall, mn",0.0,91.0,micro
32180.0,"marshall, mo",0.0,11.0,micro
32260.0,"marshalltown, ia",0.0,35.0,micro
32280.0,"martin, tn",0.0,69.0,micro
32300.0,"martinsville, va",0.0,38.0,micro
32340.0,"maryville, mo",0.0,49.0,micro
32380.0,"mason city, ia",0.0,54.0,micro
32390.0,"massena-ogdensburg, ny",132.5,215.0,micro
32420.0,"mayagüez, pr",0.0,,metro
